GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),DRUG (CODE),DRUG (DISPLAY),DRUG (URL),RSUDPHARMACOTHERAPYOPTION (CODE),RSUDPHARMACOTHERAPYOPTION (DISPLAY),RSUDPHARMACOTHERAPYOPTION (URL),RSUDMAINTENANCEACCESSRESTRICTIONS (CODE),RSUDMAINTENANCEACCESSRESTRICTIONS (DISPLAY),RSUDMAINTENANCEACCESSRESTRICTIONS (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,#indicator+value+num,,,,,
RSUD_420,Guidelines on pharmacological treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2511,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,Yes,,,,,,
RSUD_430,Pharmacotherapy with methadone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,MAINTENANCE,Maintenance,,,,,Yes,,,,,,
RSUD_440,Pharmacotherapy with buprenorphine,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DETOXIFICATION,Detoxification,,,,,Yes,,,,,,
RSUD_440,Pharmacotherapy with buprenorphine,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,MAINTENANCE,Maintenance,,,,,Yes,,,,,,
RSUD_450,Pharmacotherapy with buprenorphine/naloxone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,MAINTENANCE,Maintenance,,,,,Yes,,,,,,
RSUD_460,Access restrictions to maintenance treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2532,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,AGE_RESTRICTION,Age restriction,,Yes,,,,,,
RSUD_460,Access restrictions to maintenance treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2532,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,RESTRICTION_ON_THE_DURATION_OF_OPIOID_DEPENDENCE,Restriction on the duration of opioid dependence prior to treatment,,Yes,,,,,,
RSUD_470,Timeframe for maintenance treatment of opioid dependence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2531,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,Open ended,,,,,,
RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,ACAMPROSATE,Acamprosate,,,,,,,,Yes,,,,,,
RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,DISULFIRAM,Disulfiram,,,,,,,,Yes,,,,,,
RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,NALTREXONE,Naltrexone,,,,,,,,Yes,,,,,,
RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,DIAZEPAM,Diazepam,,,,,,,,Yes,,,,,,
RSUD_490,Registration of medications for opioid dependence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,BUPRENORPHINE_NALOXONE_SUBLINGUAL_FILM,Buprenorphine/naloxone in sublingual film,,,,,,,,No,,,,,,
RSUD_490,Registration of medications for opioid dependence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,METHADONE_TABLETS,Methadone in tablets,,,,,,,,No,,,,,,
RSUD_490,Registration of medications for opioid dependence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,BUPRENORPHINE_SUBLINGUAL_TABLETS,Buprenorphine in sublingual tablets,,,,,,,,Yes,,,,,,
RSUD_490,Registration of medications for opioid dependence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,BUPRENORPHINE_NALOXONE_SUBLINGUAL_TABLETS,Buprenorphine/naloxone in sublingual tablets,,,,,,,,Yes,,,,,,
RSUD_490,Registration of medications for opioid dependence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,METHADONE_LIQUID_FORMULATION,Methadone in liquid formulation,,,,,,,,Yes,,,,,,
RSUD_490,Registration of medications for opioid dependence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,NALTREXONE_TABLETS,Naltrexone in tablets,,,,,,,,Yes,,,,,,
RSUD_500,Registration of medications for opioid withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,CLONIDINE,Clonidine,,,,,,,,Yes,,,,,,
RSUD_500,Registration of medications for opioid withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,DIAZEPAM,Diazepam,,,,,,,,Yes,,,,,,
RSUD_500,Registration of medications for opioid withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,LOFEXIDINE,Lofexidine,,,,,,,,Yes,,,,,,
RSUD_510,Registration of naloxone for injection for opioid overdose,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2548,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,Yes,,,,,,
RSUD_430,Pharmacotherapy with methadone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DETOXIFICATION,Detoxification,,,,,No data,,,,,,
RSUD_450,Pharmacotherapy with buprenorphine/naloxone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DETOXIFICATION,Detoxification,,,,,No data,,,,,,
RSUD_460,Access restrictions to maintenance treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2532,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,RESTRICTED_TO_INJECTING_DRUG_USERS,Restricted to injecting drug users,,No data,,,,,,
RSUD_520,Availability of naloxone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2550,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,No data,,,,,,
